Date,삼성전자,SK하이닉스,POSCO홀딩스,현대차,기아,삼성SDI,현대모비스,LG,카카오,SK텔레콤,기업은행,S-Oil,KT
2000-01-04,6110,505462,142000,20700,7350,50400,6610,47025,30383,65564,5100,12725,169000
2000-01-18,6100,490740,145500,17800,7800,44300,6000,51188,26100,66426,5380,10500,139500
2000-02-01,5320,480925,129500,17000,6690,45700,6100,45852,24270,63235,5000,9750,124000
2000-02-16,5000,410259,100000,14000,6280,41550,5150,42217,43455,72465,4070,9950,123000
2000-03-02,5880,403388,110500,13200,4470,36150,4245,37174,32034,81955,3750,9225,107500
2000-03-16,5400,394555,103500,13200,5200,35000,4350,29376,26233,70740,3670,9150,97000
2000-03-30,7050,500555,108500,14000,5000,43500,4170,38113,20523,65754,3420,10225,103500
2000-04-17,5520,377870,97500,12000,4900,41000,4500,29435,13420,45463,3790,9950,74800
2000-05-02,6280,341555,86700,10700,5580,48100,4050,30490,10493,58490,3320,10150,80000
2000-05-18,6800,335666,93500,11350,5980,49500,3405,25799,8423,58662,2700,9025,81500
2000-06-01,6300,353333,86300,12000,5820,45900,3560,24275,14027,70050,3380,9150,82400
2000-06-16,6740,398481,99500,13900,5900,51000,5410,26972,15990,60733,5880,11150,91500
2000-06-30,7380,431851,94600,14300,6400,53500,5090,26151,18916,62976,7200,13400,98200
2000-07-14,7550,459333,87600,15000,7100,56000,5700,24392,15597,65219,5490,13000,90400
2000-07-31,5900,341555,88000,14950,7200,49300,5390,22223,12742,47965,4180,12450,79800
2000-08-14,6020,387685,82600,17300,7400,54400,5710,21343,11689,49690,4360,12925,80600
2000-08-29,6220,447555,84600,17250,7000,53400,6100,22223,12563,45205,4020,12975,79400
2000-09-15,4350,324870,83500,16650,6380,47100,5530,18529,12171,38821,4000,12075,69000
2000-09-29,4040,313092,83000,14500,6100,44100,5080,16300,10386,46930,3830,13350,66800
2000-10-16,3160,220833,68300,13000,5910,38500,3890,13251,8726,43824,3500,13750,63000
2000-10-30,2750,144670,63900,12500,5900,42000,3580,12137,4836,39683,3350,14050,65000
2000-11-13,3150,130537,68200,14900,7500,46000,4355,14541,5112,44687,3300,13400,69000
2000-11-27,3780,163514,72700,13550,7900,48500,4490,13545,4943,46067,3810,14250,66500
2000-12-11,3580,133677,80900,13400,7660,49250,4760,14365,4300,49690,3640,14150,72900
2000-12-26,3160,79009,76500,12100,7100,47000,4985,13310,2623,43652,3720,13750,67000
2001-01-15,3920,117777,97000,13100,7000,59900,4850,16887,6174,49432,4020,11325,81900
2001-02-01,4270,108551,97900,15700,7530,59000,5910,17590,6228,45895,3790,11050,76500
2001-02-15,4130,91375,95700,16500,7870,67500,6900,17356,6496,41754,3700,10950,70400
2001-03-02,3610,66250,102000,16400,7590,62000,6900,15773,4604,35974,3610,12450,62800
2001-03-16,3890,61637,92600,16850,7730,62600,6450,14307,4666,35370,3330,13625,58300
2001-03-30,4160,61931,90000,17200,7300,54000,6360,14893,4122,31574,3220,14350,56100
2001-04-16,3940,49172,85000,18300,6940,52600,8050,14893,4095,31660,3240,14125,54200
